Numéro	Lien	HTTP	Encodage Charset	Nombre de mots
1	https://en.wikipedia.org/wiki/Soul	200	UTF-8	20572
2	https://www.catholic.com/qa/difference-between-human-soul-and-spirit-2nd-use	200	utf-8	1013
3	https://lonerwolf.com/what-is-a-soul/	200	UTF-8	6007
4	https://plato.stanford.edu/entries/ancient-soul/	200	rien	13669
5	https://www.ananda.org/yogapedia/soul/	200	UTF-8	1829
6	https://www.learning-mind.com/what-is-a-soul/	200	UTF-8	3039
7	https://simonwillison.net/2025/Dec/2/claude-soul-document/	200	utf-8	820
8	https://thewitness.org/what-is-the-human-soul/	200	UTF-8	3823
9	https://www.belmont.edu/about/soul/	200	rien	1286
10	https://zondervanacademic.com/blog/what-is-the-soul	200	UTF-8	5841
11	https://www.christianity.com/wiki/salvation/difference-between-a-soul-and-a-spirit.html	200	utf-8	2166
12	https://barrettvalues.substack.com/p/what-is-the-soul	200	utf-8	2096
13	https://www.jobjoy.com/this-job-sucks-my-soul/	200	UTF-8	925
14	https://careers.rituals.com/en-NL/life-at-rituals/work-with-heart-and-soul-2/	200	utf-8	753
15	https://chiefexecutive.net/job-one-protect-the-soul-of-the-business/	200	UTF-8	3317
16	https://freeyourflow.org/soul-led-work/	403	UTF-8	137
17	https://souldrivensuccess.com/when-can-i-quit-this-soul-sucking-job/	200	UTF-8	1304
18	https://sasundergrad.rutgers.edu/majors-and-core-curriculum/specialized-courses-and-programs/signature-courses/course-detail/soul-beliefs-causes-and-consequences	200	utf-8	749
19	https://thevectorimpact.com/selling-your-soul/	200	UTF-8	3732
20	https://thewisdomdaily.com/5-ways-to-keep-your-summer-soul-satisfied-without-losing-your-job/	200	UTF-8	1824
21	https://jacobin.com/2026/06/robert-wright-god-test-book-reviewhttps://www.alicestricklin.com/blog/is-your-career-feeding-your-soul	404	utf-8	123
22	https://en.wikipedia.org/wiki/List_of_soul_foods_and_dishes	200	UTF-8	8886
23	https://www.saraouimette.com/blog/2025/4/29/what-is-soul	200	utf-8	2022
24	https://www.soulshepherding.org/soul-care/	200	UTF-8	1817
25	https://churchlifejournal.nd.edu/articles/the-soul-in-trauma/	403	rien	39
26	https://danreiland.com/4-ways-to-refresh-when-your-soul-is-weary/	200	UTF-8	1435
27	https://www.katrinakenison.com/soul-work/	200	UTF-8	2215
28	https://inters.org/soul?	200	UTF-8	15131
29	https://en.anthro.wiki/Soul	200	UTF-8	9971
30	https://inters.org/soul	200	UTF-8	15131
31	https://anthroposophy.eu/Human_character_-_the_I_and_threefold_soul	200	UTF-8	22900
32	https://www.ask-angels.com/spiritual-guidance/soulmates-soul-family/	200	UTF-8	1412
33	https://in5d.com/how-do-you-connect-to-your-soul-group-family/	200	UTF-8	2185
34	https://kindredspirit.co.uk/2023/10/16/soul-family-and-earth-family-connections/	200	UTF-8	3032
35	https://newequations.com/physical-expressions-of-the-soul/	200	UTF-8	414
36	https://www.theidioms.com/life-and-soul/	200	UTF-8	1099
37	https://share.google/bknmh0KGZlKrmOWvi	403	UTF-8	215
38	https://english.stackexchange.com/questions/557466/where-does-the-expression-to-sell-your-soul-to-the-devil-originate	200	utf-8	3251
39	https://www.wikihow.com/Old-Souls	200	UTF-8	5264
40	https://economictimes.indiatimes.com/magazines/panache/have-scientists-found-proof-of-the-human-soul-experts-say-the-evidence-is-more-than-just-spiritual/articleshow/120308004.cms?from=mdr	200	UTF-8	3931
41	https://www.thehistoryofenglish.com/the-eyes-are-the-windows-to-the-soul	200	UTF-8	1238
42	https://www.mindbodygreen.com/articles/are-you-old-soul-11-signs-what-it-really-means	200	UTF-8	2138
43	https://parade.com/astrology/soul-journey-birth-dates	403	utf-8	93
44	https://share.google/H7kf244Hb4zwE0yKy	200	UTF-8	1305
45	https://www.trvst.world/mind-body/soul-quotes/	200	UTF-8	3422
46	https://www.phrases.org.uk/phrase-thesaurus/soul	200	rien	1442
47	https://www.churchofjesuschrist.org/study/general-conference/2026/04/23stevenson?lang=eng	200	rien	2245
48	https://www.newadvent.org/summa/1075.htm	200	utf-8	6448
49	https://plato.stanford.edu/entries/pineal-gland/	200	rien	9974
50	https://jeannenangle.com/soul-meaning-what-is-the-unique-soul	200	UTF-8	3504
51	https://biblehub.com/q/what_defines_the_human_soul.htm	200	rien	1229
52	https://www.wisdomlib.org/concept/soul	200	utf-8	6876
53	https://lonerwolf.com/soul-communication/	200	UTF-8	3981
54	https://islamichelper.com/akhirah/study-of-the-soul/	200	UTF-8	3391
55	https://wcyb.com/news/local/new-soul-food-restaurant-opens-in-downtown-bristol	200	utf-8	1650
56	https://jessicaboehme.substack.com/p/whats-your-soul-here-to-do	200	utf-8	2504
57	https://share.google/ZTl9iNfETYridnI7G	200	rien	1362
58	https://share.google/yKKJZQemM6unv8NzV	200	utf-8	827
59	https://acharyaprashant.org/en/articles/the-relationship-between-spirituality-and-science-1_f819118	200	rien	1986
60	https://jacobin.com/2026/06/robert-wright-god-test-book-review	200	utf-8	3570
